Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data_Api\Data_Api.csproj,File,Data_Api\Data_Api.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.9,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data_Api\Data_Api.csproj,File,Data_Api\Data_Api.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.9,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.8"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Data_Api\Data_Api.csproj,File,Data_Api\Data_Api.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.22.1,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.22.1  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Data_Api\Data_Api.csproj,File,Data_Api\Data_Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,File,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,,,Microsoft.AspNetCore.Components 9.0.16,,,,,"Microsoft.AspNetCore.Components, 9.0.16  Recommendation:  Remove Microsoft.AspNetCore.Components, and replace with new package Microsoft.AspNetCore.Components 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,File,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,,,Microsoft.AspNetCore.Components.Forms 9.0.16,,,,,"Microsoft.AspNetCore.Components.Forms, 9.0.16  Recommendation:  Remove Microsoft.AspNetCore.Components.Forms, and replace with new package Microsoft.AspNetCore.Components.Forms 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,File,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,,,Microsoft.AspNetCore.Components.Web 9.0.16,,,,,"Microsoft.AspNetCore.Components.Web, 9.0.16  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,File,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,,,System.Text.Json 9.0.16,,,,,"System.Text.Json, 9.0.16  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,File,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,,,,,,,,Current target framework: net9.0-android;net9.0-maccatalyst;net9.0-windows10.0.26100.0 Recommended target framework: net9.0-android;net9.0-maccatalyst;net9.0-windows10.0.26100.0;net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FeladatEllenorzo_CP\FeladatEllenorzo_CP.csproj,File,FeladatEllenorzo_CP\obj\Release\net9.0-android\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,24,2,T:Microsoft.Maui.Controls.BindingMode,,,,,private static bool ShouldUseSetter(BindingMode mode)
